SNo,Date,Province/State,Country,Deaths
13,01/22/2020,Hong Kong,Hong Kong,0.0
21,01/22/2020,Macau,Macau,0.0
1,01/22/2020,Anhui,Mainland China,0.0
2,01/22/2020,Beijing,Mainland China,0.0
3,01/22/2020,Chongqing,Mainland China,0.0
4,01/22/2020,Fujian,Mainland China,0.0
5,01/22/2020,Gansu,Mainland China,0.0
6,01/22/2020,Guangdong,Mainland China,0.0
7,01/22/2020,Guangxi,Mainland China,0.0
8,01/22/2020,Guizhou,Mainland China,0.0
9,01/22/2020,Hainan,Mainland China,0.0
10,01/22/2020,Hebei,Mainland China,0.0
11,01/22/2020,Heilongjiang,Mainland China,0.0
12,01/22/2020,Henan,Mainland China,0.0
14,01/22/2020,Hubei,Mainland China,17.0
15,01/22/2020,Hunan,Mainland China,0.0
16,01/22/2020,Inner Mongolia,Mainland China,0.0
17,01/22/2020,Jiangsu,Mainland China,0.0
18,01/22/2020,Jiangxi,Mainland China,0.0
19,01/22/2020,Jilin,Mainland China,0.0
20,01/22/2020,Liaoning,Mainland China,0.0
22,01/22/2020,Ningxia,Mainland China,0.0
23,01/22/2020,Qinghai,Mainland China,0.0
24,01/22/2020,Shaanxi,Mainland China,0.0
25,01/22/2020,Shandong,Mainland China,0.0
26,01/22/2020,Shanghai,Mainland China,0.0
27,01/22/2020,Shanxi,Mainland China,0.0
28,01/22/2020,Sichuan,Mainland China,0.0
30,01/22/2020,Tianjin,Mainland China,0.0
31,01/22/2020,Tibet,Mainland China,0.0
33,01/22/2020,Xinjiang,Mainland China,0.0
34,01/22/2020,Yunnan,Mainland China,0.0
35,01/22/2020,Zhejiang,Mainland China,0.0
29,01/22/2020,Taiwan,Taiwan,0.0
32,01/22/2020,Washington,US,0.0
51,01/23/2020,Hong Kong,Hong Kong,0.0
59,01/23/2020,Macau,Macau,0.0
39,01/23/2020,Anhui,Mainland China,0.0
40,01/23/2020,Beijing,Mainland China,0.0
41,01/23/2020,Chongqing,Mainland China,0.0
42,01/23/2020,Fujian,Mainland China,0.0
43,01/23/2020,Gansu,Mainland China,0.0
44,01/23/2020,Guangdong,Mainland China,0.0
45,01/23/2020,Guangxi,Mainland China,0.0
46,01/23/2020,Guizhou,Mainland China,0.0
47,01/23/2020,Hainan,Mainland China,0.0
48,01/23/2020,Hebei,Mainland China,1.0
49,01/23/2020,Heilongjiang,Mainland China,0.0
50,01/23/2020,Henan,Mainland China,0.0
52,01/23/2020,Hubei,Mainland China,17.0
53,01/23/2020,Hunan,Mainland China,0.0
54,01/23/2020,Inner Mongolia,Mainland China,0.0
55,01/23/2020,Jiangsu,Mainland China,0.0
56,01/23/2020,Jiangxi,Mainland China,0.0
57,01/23/2020,Jilin,Mainland China,0.0
58,01/23/2020,Liaoning,Mainland China,0.0
60,01/23/2020,Ningxia,Mainland China,0.0
61,01/23/2020,Qinghai,Mainland China,0.0
62,01/23/2020,Shaanxi,Mainland China,0.0
63,01/23/2020,Shandong,Mainland China,0.0
64,01/23/2020,Shanghai,Mainland China,0.0
65,01/23/2020,Shanxi,Mainland China,0.0
66,01/23/2020,Sichuan,Mainland China,0.0
68,01/23/2020,Tianjin,Mainland China,0.0
69,01/23/2020,Tibet,Mainland China,0.0
71,01/23/2020,Xinjiang,Mainland China,0.0
72,01/23/2020,Yunnan,Mainland China,0.0
73,01/23/2020,Zhejiang,Mainland China,0.0
67,01/23/2020,Taiwan,Taiwan,0.0
70,01/23/2020,Washington,US,0.0
110,01/24/2020,Hong Kong,Hong Kong,0.0
111,01/24/2020,Macau,Macau,0.0
96,01/24/2020,Anhui,Mainland China,0.0
88,01/24/2020,Beijing,Mainland China,0.0
89,01/24/2020,Chongqing,Mainland China,0.0
97,01/24/2020,Fujian,Mainland China,0.0
113,01/24/2020,Gansu,Mainland China,0.0
86,01/24/2020,Guangdong,Mainland China,0.0
91,01/24/2020,Guangxi,Mainland China,0.0
106,01/24/2020,Guizhou,Mainland China,0.0
100,01/24/2020,Hainan,Mainland China,0.0
112,01/24/2020,Hebei,Mainland China,1.0
104,01/24/2020,Heilongjiang,Mainland China,1.0
98,01/24/2020,Henan,Mainland China,0.0
85,01/24/2020,Hubei,Mainland China,24.0
90,01/24/2020,Hunan,Mainland China,0.0
116,01/24/2020,Inner Mongolia,Mainland China,0.0
99,01/24/2020,Jiangsu,Mainland China,0.0
93,01/24/2020,Jiangxi,Mainland China,0.0
107,01/24/2020,Jilin,Mainland China,0.0
105,01/24/2020,Liaoning,Mainland China,0.0
109,01/24/2020,Ningxia,Mainland China,0.0
117,01/24/2020,Qinghai,Mainland China,0.0
103,01/24/2020,Shaanxi,Mainland China,0.0
95,01/24/2020,Shandong,Mainland China,0.0
