ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
2020-09-17 00:00:00,Andaman and Nicobar Islands,India,3597.0,54.0,3382.0
2020-09-18 00:00:00,Andaman and Nicobar Islands,India,3621.0,55.0,3439.0
2020-09-19 00:00:00,Andaman and Nicobar Islands,India,3642.0,55.0,3493.0
2020-09-20 00:00:00,Andaman and Nicobar Islands,India,3654.0,56.0,3550.0
2020-09-21 00:00:00,Andaman and Nicobar Islands,India,3668.0,56.0,3608.0
2020-09-22 00:00:00,Andaman and Nicobar Islands,India,3690.0,56.0,3660.0
2020-09-23 00:00:00,Andaman and Nicobar Islands,India,3708.0,57.0,3712.0
2020-09-17 00:00:00,Andhra Pradesh,India,596063.0,5137.0,497876.0
2020-09-18 00:00:00,Andhra Pradesh,India,606143.0,5215.0,507099.0
2020-09-19 00:00:00,Andhra Pradesh,India,615825.0,5294.0,516703.0
2020-09-20 00:00:00,Andhra Pradesh,India,623064.0,5361.0,524247.0
2020-09-21 00:00:00,Andhra Pradesh,India,631444.0,5435.0,533607.0
2020-09-22 00:00:00,Andhra Pradesh,India,641156.0,5513.0,543591.0
2020-09-23 00:00:00,Andhra Pradesh,India,650843.0,5587.0,551647.0
2020-09-17 00:00:00,Arunachal Pradesh,India,6629.0,12.0,4693.0
2020-09-18 00:00:00,Arunachal Pradesh,India,6805.0,12.0,4801.0
2020-09-19 00:00:00,Arunachal Pradesh,India,6957.0,12.0,4903.0
2020-09-20 00:00:00,Arunachal Pradesh,India,7067.0,12.0,4974.0
2020-09-21 00:00:00,Arunachal Pradesh,India,7209.0,12.0,5080.0
2020-09-22 00:00:00,Arunachal Pradesh,India,7366.0,13.0,5200.0
2020-09-23 00:00:00,Arunachal Pradesh,India,7489.0,13.0,5315.0
2020-09-17 00:00:00,Assam,India,149858.0,498.0,119932.0
2020-09-18 00:00:00,Assam,India,152287.0,511.0,122267.0
2020-09-19 00:00:00,Assam,India,153993.0,522.0,124460.0
2020-09-20 00:00:00,Assam,India,155044.0,529.0,126361.0
2020-09-21 00:00:00,Assam,India,157334.0,540.0,128467.0
