ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
2020-09-17 00:00:00,Andaman and Nicobar Islands,India,3649.0,56.0,3435.0
2020-09-18 00:00:00,Andaman and Nicobar Islands,India,3682.0,57.0,3484.0
2020-09-19 00:00:00,Andaman and Nicobar Islands,India,3712.0,57.0,3534.0
2020-09-20 00:00:00,Andaman and Nicobar Islands,India,3742.0,58.0,3583.0
2020-09-21 00:00:00,Andaman and Nicobar Islands,India,3768.0,58.0,3630.0
2020-09-22 00:00:00,Andaman and Nicobar Islands,India,3796.0,59.0,3677.0
2020-09-23 00:00:00,Andaman and Nicobar Islands,India,3824.0,60.0,3721.0
2020-09-17 00:00:00,Andhra Pradesh,India,604689.0,5197.0,502273.0
2020-09-18 00:00:00,Andhra Pradesh,India,615035.0,5272.0,512041.0
2020-09-19 00:00:00,Andhra Pradesh,India,625212.0,5345.0,522607.0
2020-09-20 00:00:00,Andhra Pradesh,India,634511.0,5414.0,531800.0
2020-09-21 00:00:00,Andhra Pradesh,India,643742.0,5485.0,541288.0
2020-09-22 00:00:00,Andhra Pradesh,India,652920.0,5552.0,551093.0
2020-09-23 00:00:00,Andhra Pradesh,India,663784.0,5632.0,561273.0
2020-09-17 00:00:00,Arunachal Pradesh,India,6662.0,11.0,4698.0
2020-09-18 00:00:00,Arunachal Pradesh,India,6820.0,12.0,4803.0
2020-09-19 00:00:00,Arunachal Pradesh,India,6964.0,12.0,4908.0
2020-09-20 00:00:00,Arunachal Pradesh,India,7083.0,12.0,4994.0
2020-09-21 00:00:00,Arunachal Pradesh,India,7219.0,12.0,5105.0
2020-09-22 00:00:00,Arunachal Pradesh,India,7383.0,13.0,5215.0
2020-09-23 00:00:00,Arunachal Pradesh,India,7530.0,13.0,5319.0
2020-09-17 00:00:00,Assam,India,152140.0,492.0,119249.0
2020-09-18 00:00:00,Assam,India,154630.0,503.0,121316.0
2020-09-19 00:00:00,Assam,India,157005.0,514.0,123238.0
2020-09-20 00:00:00,Assam,India,158944.0,523.0,125106.0
2020-09-21 00:00:00,Assam,India,161536.0,534.0,127053.0
2020-09-22 00:00:00,Assam,India,164057.0,545.0,128940.0
2020-09-23 00:00:00,Assam,India,166680.0,556.0,130836.0
2020-09-17 00:00:00,Bihar,India,164637.0,884.0,150122.0
2020-09-18 00:00:00,Bihar,India,166363.0,900.0,151947.0
2020-09-19 00:00:00,Bihar,India,168118.0,917.0,154085.0
2020-09-20 00:00:00,Bihar,India,169692.0,932.0,155861.0
2020-09-21 00:00:00,Bihar,India,171092.0,945.0,157820.0
2020-09-22 00:00:00,Bihar,India,172582.0,961.0,159753.0
2020-09-23 00:00:00,Bihar,India,174424.0,976.0,161472.0
2020-09-17 00:00:00,Chandigarh,India,8744.0,103.0,5644.0
2020-09-18 00:00:00,Chandigarh,India,8989.0,106.0,5830.0
2020-09-19 00:00:00,Chandigarh,India,9244.0,109.0,6015.0
2020-09-20 00:00:00,Chandigarh,India,9475.0,112.0,6167.0
2020-09-21 00:00:00,Chandigarh,India,9740.0,115.0,6377.0
2020-09-22 00:00:00,Chandigarh,India,10025.0,118.0,6569.0
2020-09-23 00:00:00,Chandigarh,India,10273.0,121.0,6740.0
2020-09-17 00:00:00,Chhattisgarh,India,71631.0,602.0,32663.0
2020-09-18 00:00:00,Chhattisgarh,India,73939.0,622.0,33548.0
2020-09-19 00:00:00,Chhattisgarh,India,76212.0,639.0,34436.0
2020-09-20 00:00:00,Chhattisgarh,India,78252.0,656.0,35262.0
2020-09-21 00:00:00,Chhattisgarh,India,80468.0,673.0,36411.0
2020-09-22 00:00:00,Chhattisgarh,India,83124.0,692.0,37370.0
2020-09-23 00:00:00,Chhattisgarh,India,85321.0,712.0,38262.0
2020-09-17 00:00:00,Delhi,India,226348.0,4822.0,189824.0
2020-09-18 00:00:00,Delhi,India,229200.0,4829.0,191582.0
2020-09-19 00:00:00,Delhi,India,232255.0,4852.0,193981.0
2020-09-20 00:00:00,Delhi,India,234886.0,4866.0,195877.0
2020-09-21 00:00:00,Delhi,India,237568.0,4889.0,197881.0
2020-09-22 00:00:00,Delhi,India,240816.0,4932.0,199778.0
2020-09-23 00:00:00,Delhi,India,243874.0,4950.0,201700.0
2020-09-17 00:00:00,Goa,India,26463.0,319.0,20408.0
2020-09-18 00:00:00,Goa,India,26980.0,326.0,20821.0
2020-09-19 00:00:00,Goa,India,27520.0,333.0,21263.0
2020-09-20 00:00:00,Goa,India,27973.0,340.0,21672.0
2020-09-21 00:00:00,Goa,India,28445.0,348.0,22105.0
2020-09-22 00:00:00,Goa,India,28979.0,356.0,22535.0
2020-09-23 00:00:00,Goa,India,29511.0,364.0,22882.0
2020-09-17 00:00:00,Gujarat,India,118158.0,3266.0,98003.0
2020-09-18 00:00:00,Gujarat,India,119407.0,3278.0,99171.0
2020-09-19 00:00:00,Gujarat,India,120680.0,3291.0,100353.0
2020-09-20 00:00:00,Gujarat,India,121867.0,3304.0,101431.0
2020-09-21 00:00:00,Gujarat,India,123165.0,3319.0,102640.0
2020-09-22 00:00:00,Gujarat,India,124461.0,3334.0,103877.0
2020-09-23 00:00:00,Gujarat,India,125735.0,3349.0,105047.0
2020-09-17 00:00:00,Haryana,India,99837.0,1036.0,76777.0
2020-09-18 00:00:00,Haryana,India,101802.0,1054.0,78172.0
2020-09-19 00:00:00,Haryana,India,103875.0,1074.0,79557.0
2020-09-20 00:00:00,Haryana,India,105693.0,1091.0,80828.0
2020-09-21 00:00:00,Haryana,India,107742.0,1112.0,82277.0
2020-09-22 00:00:00,Haryana,India,109910.0,1134.0,83855.0
2020-09-23 00:00:00,Haryana,India,111883.0,1153.0,85252.0
2020-09-17 00:00:00,Himachal Pradesh,India,10193.0,86.0,6548.0
2020-09-18 00:00:00,Himachal Pradesh,India,10428.0,89.0,6680.0
2020-09-19 00:00:00,Himachal Pradesh,India,10671.0,91.0,6798.0
2020-09-20 00:00:00,Himachal Pradesh,India,10896.0,94.0,6919.0
2020-09-21 00:00:00,Himachal Pradesh,India,11137.0,97.0,7042.0
2020-09-22 00:00:00,Himachal Pradesh,India,11376.0,100.0,7173.0
2020-09-23 00:00:00,Himachal Pradesh,India,11606.0,102.0,7281.0
2020-09-17 00:00:00,Jammu and Kashmir,India,56557.0,927.0,37836.0
2020-09-18 00:00:00,Jammu and Kashmir,India,57634.0,939.0,38349.0
2020-09-19 00:00:00,Jammu and Kashmir,India,58737.0,952.0,38920.0
2020-09-20 00:00:00,Jammu and Kashmir,India,59733.0,962.0,39346.0
2020-09-21 00:00:00,Jammu and Kashmir,India,60801.0,974.0,39880.0
2020-09-22 00:00:00,Jammu and Kashmir,India,61918.0,988.0,40418.0
2020-09-23 00:00:00,Jammu and Kashmir,India,62995.0,1002.0,40917.0
2020-09-17 00:00:00,Jharkhand,India,67907.0,589.0,51214.0
2020-09-18 00:00:00,Jharkhand,India,69412.0,598.0,52560.0
2020-09-19 00:00:00,Jharkhand,India,70918.0,609.0,53947.0
2020-09-20 00:00:00,Jharkhand,India,72369.0,619.0,55293.0
2020-09-21 00:00:00,Jharkhand,India,74019.0,630.0,56612.0
2020-09-22 00:00:00,Jharkhand,India,75706.0,640.0,58067.0
2020-09-23 00:00:00,Jharkhand,India,77168.0,651.0,59342.0
2020-09-17 00:00:00,Karnataka,India,488979.0,7710.0,377422.0
2020-09-18 00:00:00,Karnataka,India,497778.0,7831.0,385058.0
2020-09-19 00:00:00,Karnataka,India,506581.0,7948.0,392961.0
2020-09-20 00:00:00,Karnataka,India,514369.0,8050.0,399861.0
2020-09-21 00:00:00,Karnataka,India,522141.0,8168.0,407444.0
2020-09-22 00:00:00,Karnataka,India,530630.0,8291.0,415563.0
2020-09-23 00:00:00,Karnataka,India,539295.0,8412.0,422679.0
2020-09-17 00:00:00,Kerala,India,115283.0,466.0,85352.0
2020-09-18 00:00:00,Kerala,India,117815.0,477.0,87417.0
2020-09-19 00:00:00,Kerala,India,120319.0,488.0,89459.0
2020-09-20 00:00:00,Kerala,India,122527.0,496.0,91242.0
2020-09-21 00:00:00,Kerala,India,124711.0,507.0,93173.0
2020-09-22 00:00:00,Kerala,India,127227.0,518.0,95303.0
2020-09-23 00:00:00,Kerala,India,129609.0,527.0,97139.0
2020-09-17 00:00:00,Ladakh,India,3545.0,45.0,2640.0
2020-09-18 00:00:00,Ladakh,India,3591.0,46.0,2680.0
2020-09-19 00:00:00,Ladakh,India,3653.0,47.0,2733.0
2020-09-20 00:00:00,Ladakh,India,3702.0,48.0,2766.0
2020-09-21 00:00:00,Ladakh,India,3747.0,48.0,2810.0
2020-09-22 00:00:00,Ladakh,India,3814.0,50.0,2851.0
2020-09-23 00:00:00,Ladakh,India,3864.0,50.0,2903.0
2020-09-17 00:00:00,Madhya Pradesh,India,93798.0,1851.0,70280.0
